latency_us exceedance
1842.03 7.542458e-01
1842.18 7.532468e-01
1842.19 7.522478e-01
1842.23 7.512488e-01
1842.29 7.502498e-01
1842.34 7.492507e-01
1842.36 7.482517e-01
1842.41 7.472527e-01
1842.42 7.462537e-01
1842.47 7.452547e-01
1842.65 7.442557e-01
1842.67 7.432567e-01
1842.78 7.422577e-01
1842.80 7.412587e-01
1843.07 7.402597e-01
1843.07 7.392607e-01
1843.09 7.382617e-01
1843.17 7.372627e-01
1843.17 7.362637e-01
1843.27 7.352647e-01
1843.39 7.342657e-01
1843.46 7.332667e-01
1843.62 7.322677e-01
1843.62 7.312687e-01
1843.63 7.302697e-01
1843.77 7.292707e-01
1844.19 7.282717e-01
1844.41 7.272727e-01
1844.64 7.262737e-01
1844.70 7.252747e-01
1844.77 7.242757e-01
1844.77 7.232767e-01
1844.97 7.222777e-01
1845.18 7.212787e-01
1845.45 7.202797e-01
1845.75 7.192807e-01
1845.83 7.182817e-01
1845.89 7.172827e-01
1846.00 7.162837e-01
1846.02 7.152847e-01
1846.06 7.142857e-01
1846.21 7.132867e-01
1846.21 7.122877e-01
1846.21 7.112887e-01
1846.26 7.102897e-01
1846.37 7.092907e-01
1846.47 7.082917e-01
1846.56 7.072927e-01
1846.70 7.062937e-01
1846.80 7.052947e-01
1847.01 7.042957e-01
1847.41 7.032967e-01
1847.57 7.022977e-01
1847.67 7.012987e-01
1847.75 7.002997e-01
1848.08 6.993007e-01
1848.32 6.983017e-01
1848.40 6.973027e-01
1848.44 6.963037e-01
1848.47 6.953047e-01
1848.53 6.943057e-01
1848.63 6.933067e-01
1848.72 6.923077e-01
1849.06 6.913087e-01
1849.30 6.903097e-01
1849.35 6.893107e-01
1849.54 6.883117e-01
1849.57 6.873127e-01
1849.62 6.863137e-01
1849.87 6.853147e-01
1849.94 6.843157e-01
1849.95 6.833167e-01
1849.97 6.823177e-01
1850.18 6.813187e-01
1850.25 6.803197e-01
1850.33 6.793207e-01
1850.46 6.783217e-01
1850.63 6.773227e-01
1850.80 6.763237e-01
1851.17 6.753247e-01
1851.30 6.743257e-01
1851.65 6.733267e-01
1851.74 6.723277e-01
1851.87 6.713287e-01
1851.93 6.703297e-01
1852.02 6.693307e-01
1852.11 6.683317e-01
1852.12 6.673327e-01
1852.12 6.663337e-01
1852.20 6.653347e-01
1852.37 6.643357e-01
1852.42 6.633367e-01
1852.49 6.623377e-01
1852.50 6.613387e-01
1852.53 6.603397e-01
1852.90 6.593407e-01
1852.91 6.583417e-01
1852.99 6.573427e-01
1853.17 6.563437e-01
1853.32 6.553447e-01
1853.49 6.543457e-01
1853.53 6.533467e-01
1853.74 6.523477e-01
1853.82 6.513487e-01
1854.04 6.503497e-01
1854.07 6.493506e-01
1854.10 6.483516e-01
1854.68 6.473526e-01
1854.79 6.463536e-01
1854.94 6.453546e-01
1854.99 6.443556e-01
