platform,model,impl,device,kernel,size,scenario,iter,lat_ns,e2e_ns
P2,opencl,amd-ocl,gpu,gemm,256,ovh,0,1177800,1754200
P2,opencl,amd-ocl,gpu,gemm,256,ovh,1,774600,1324700
P2,opencl,amd-ocl,gpu,gemm,256,ovh,2,674100,1307900
P2,opencl,amd-ocl,gpu,gemm,256,ovh,3,751700,1266900
P2,opencl,amd-ocl,gpu,gemm,256,ovh,4,652300,1176600
P2,opencl,amd-ocl,gpu,null,1,ovh,0,119800,-1
P2,opencl,amd-ocl,gpu,null,1,ovh,1,86300,-1
P2,opencl,amd-ocl,gpu,null,1,ovh,2,84600,-1
P2,opencl,amd-ocl,gpu,null,1,ovh,3,83500,-1
P2,opencl,amd-ocl,gpu,null,1,ovh,4,68600,-1
P2,cpp,serial,cpu,gemm,256,ovh,0,2148000,2171600
P2,cpp,serial,cpu,gemm,256,ovh,1,2180700,2138700
P2,cpp,serial,cpu,gemm,256,ovh,2,2133100,2159500
P2,cpp,serial,cpu,gemm,256,ovh,3,2185300,2129300
P2,cpp,serial,cpu,gemm,256,ovh,4,2545500,2144000
P2,opencl,amd-ocl,gpu,gemm,256,ovh,0,956800,1441800
P2,opencl,amd-ocl,gpu,gemm,256,ovh,1,719100,1286800
P2,opencl,amd-ocl,gpu,gemm,256,ovh,2,648700,1076100
P2,opencl,amd-ocl,gpu,gemm,256,ovh,3,628500,1112900
P2,opencl,amd-ocl,gpu,gemm,256,ovh,4,672700,1200900
P2,opencl,amd-ocl,gpu,null,1,ovh,0,124600,-1
P2,opencl,amd-ocl,gpu,null,1,ovh,1,92400,-1
P2,opencl,amd-ocl,gpu,null,1,ovh,2,89900,-1
P2,opencl,amd-ocl,gpu,null,1,ovh,3,72600,-1
P2,opencl,amd-ocl,gpu,null,1,ovh,4,71900,-1
P2,cpp,serial,cpu,gemm,256,ovh,0,2181400,2171900
P2,cpp,serial,cpu,gemm,256,ovh,1,2152500,2159000
P2,cpp,serial,cpu,gemm,256,ovh,2,2209700,2159900
P2,cpp,serial,cpu,gemm,256,ovh,3,2162500,2140500
P2,cpp,serial,cpu,gemm,256,ovh,4,2127000,2160900
P2,opencl,amd-ocl,gpu,gemm,256,ovh,0,996700,1739000
P2,opencl,amd-ocl,gpu,gemm,256,ovh,1,978500,1602300
P2,opencl,amd-ocl,gpu,gemm,256,ovh,2,694600,1187000
P2,opencl,amd-ocl,gpu,gemm,256,ovh,3,654600,1117900
P2,opencl,amd-ocl,gpu,gemm,256,ovh,4,650300,1260800
P2,opencl,amd-ocl,gpu,null,1,ovh,0,224900,-1
P2,opencl,amd-ocl,gpu,null,1,ovh,1,127700,-1
P2,opencl,amd-ocl,gpu,null,1,ovh,2,130900,-1
P2,opencl,amd-ocl,gpu,null,1,ovh,3,110400,-1
P2,opencl,amd-ocl,gpu,null,1,ovh,4,96400,-1
P2,cpp,serial,cpu,gemm,256,ovh,0,1910600,1900900
P2,cpp,serial,cpu,gemm,256,ovh,1,1886500,1873500
P2,cpp,serial,cpu,gemm,256,ovh,2,1817300,1806800
P2,cpp,serial,cpu,gemm,256,ovh,3,1819700,1876400
P2,cpp,serial,cpu,gemm,256,ovh,4,1845000,1828700
P2,opencl,amd-ocl,gpu,gemm,256,ovh,0,990800,1650500
P2,opencl,amd-ocl,gpu,gemm,256,ovh,1,699900,1254300
P2,opencl,amd-ocl,gpu,gemm,256,ovh,2,673000,1250800
P2,opencl,amd-ocl,gpu,gemm,256,ovh,3,664000,1254400
P2,opencl,amd-ocl,gpu,gemm,256,ovh,4,694800,1316800
P2,opencl,amd-ocl,gpu,null,1,ovh,0,184000,-1
P2,opencl,amd-ocl,gpu,null,1,ovh,1,146100,-1
P2,opencl,amd-ocl,gpu,null,1,ovh,2,137700,-1
P2,opencl,amd-ocl,gpu,null,1,ovh,3,136100,-1
P2,opencl,amd-ocl,gpu,null,1,ovh,4,139000,-1
P2,cpp,serial,cpu,gemm,256,ovh,0,2130900,2131400
P2,cpp,serial,cpu,gemm,256,ovh,1,2122800,2122100
P2,cpp,serial,cpu,gemm,256,ovh,2,2125900,2130700
P2,cpp,serial,cpu,gemm,256,ovh,3,2533600,2125600
P2,cpp,serial,cpu,gemm,256,ovh,4,2123300,2117500
P2,opencl,amd-ocl,gpu,gemm,256,ovh,0,1020600,1613200
P2,opencl,amd-ocl,gpu,gemm,256,ovh,1,710300,1198000
P2,opencl,amd-ocl,gpu,gemm,256,ovh,2,651300,1065800
P2,opencl,amd-ocl,gpu,gemm,256,ovh,3,641200,1231400
P2,opencl,amd-ocl,gpu,gemm,256,ovh,4,685700,1143800
P2,opencl,amd-ocl,gpu,null,1,ovh,0,100700,-1
P2,opencl,amd-ocl,gpu,null,1,ovh,1,71300,-1
P2,opencl,amd-ocl,gpu,null,1,ovh,2,68100,-1
P2,opencl,amd-ocl,gpu,null,1,ovh,3,69400,-1
P2,opencl,amd-ocl,gpu,null,1,ovh,4,71000,-1
P2,cpp,serial,cpu,gemm,256,ovh,0,2130000,2123600
P2,cpp,serial,cpu,gemm,256,ovh,1,2124100,2560900
P2,cpp,serial,cpu,gemm,256,ovh,2,2118900,2130400
P2,cpp,serial,cpu,gemm,256,ovh,3,2127500,2133500
P2,cpp,serial,cpu,gemm,256,ovh,4,2132200,2136200
P2,opencl,amd-ocl,gpu,gemm,256,ovh,0,1251600,1762800
P2,opencl,amd-ocl,gpu,gemm,256,ovh,1,837500,1460400
