platform,model,impl,device,kernel,size,scenario,iter,lat_ns,e2e_ns
P2,opencl,amd-ocl,gpu,gemm,256,ovh,2,648600,1310400
P2,opencl,amd-ocl,gpu,gemm,256,ovh,3,624500,1086600
P2,opencl,amd-ocl,gpu,gemm,256,ovh,4,656400,1107700
P2,opencl,amd-ocl,gpu,null,1,ovh,0,113600,-1
P2,opencl,amd-ocl,gpu,null,1,ovh,1,86900,-1
P2,opencl,amd-ocl,gpu,null,1,ovh,2,74500,-1
P2,opencl,amd-ocl,gpu,null,1,ovh,3,74800,-1
P2,opencl,amd-ocl,gpu,null,1,ovh,4,74200,-1
P2,cpp,serial,cpu,gemm,256,ovh,0,2207100,2207900
P2,cpp,serial,cpu,gemm,256,ovh,1,2187900,2232000
P2,cpp,serial,cpu,gemm,256,ovh,2,2194700,2185500
P2,cpp,serial,cpu,gemm,256,ovh,3,2187300,2193500
P2,cpp,serial,cpu,gemm,256,ovh,4,2191500,2190300
P2,opencl,amd-ocl,gpu,gemm,256,ovh,0,1068500,1662400
P2,opencl,amd-ocl,gpu,gemm,256,ovh,1,682200,1138700
P2,opencl,amd-ocl,gpu,gemm,256,ovh,2,649000,1178700
P2,opencl,amd-ocl,gpu,gemm,256,ovh,3,663800,1172900
P2,opencl,amd-ocl,gpu,gemm,256,ovh,4,680600,1255900
P2,opencl,amd-ocl,gpu,null,1,ovh,0,129900,-1
P2,opencl,amd-ocl,gpu,null,1,ovh,1,74200,-1
P2,opencl,amd-ocl,gpu,null,1,ovh,2,70800,-1
P2,opencl,amd-ocl,gpu,null,1,ovh,3,68100,-1
P2,opencl,amd-ocl,gpu,null,1,ovh,4,73900,-1
P2,cpp,serial,cpu,gemm,256,ovh,0,2151500,2125800
P2,cpp,serial,cpu,gemm,256,ovh,1,2114400,2171400
P2,cpp,serial,cpu,gemm,256,ovh,2,2124300,2116700
P2,cpp,serial,cpu,gemm,256,ovh,3,2135900,2137300
P2,cpp,serial,cpu,gemm,256,ovh,4,2163200,2118800
P2,opencl,amd-ocl,gpu,gemm,256,ovh,0,992800,1686000
P2,opencl,amd-ocl,gpu,gemm,256,ovh,1,760900,1234600
P2,opencl,amd-ocl,gpu,gemm,256,ovh,2,664600,1233900
P2,opencl,amd-ocl,gpu,gemm,256,ovh,3,655600,1203500
P2,opencl,amd-ocl,gpu,gemm,256,ovh,4,666000,1108600
P2,opencl,amd-ocl,gpu,null,1,ovh,0,161800,-1
P2,opencl,amd-ocl,gpu,null,1,ovh,1,89400,-1
P2,opencl,amd-ocl,gpu,null,1,ovh,2,98700,-1
P2,opencl,amd-ocl,gpu,null,1,ovh,3,77500,-1
P2,opencl,amd-ocl,gpu,null,1,ovh,4,79400,-1
P2,cpp,serial,cpu,gemm,256,ovh,0,2129200,2122200
P2,cpp,serial,cpu,gemm,256,ovh,1,2173400,2122800
P2,cpp,serial,cpu,gemm,256,ovh,2,2110800,2147900
P2,cpp,serial,cpu,gemm,256,ovh,3,2130700,2170800
P2,cpp,serial,cpu,gemm,256,ovh,4,2121200,2116500
P2,opencl,amd-ocl,gpu,gemm,256,ovh,0,936300,1955400
P2,opencl,amd-ocl,gpu,gemm,256,ovh,1,817800,1183200
P2,opencl,amd-ocl,gpu,gemm,256,ovh,2,664100,1099400
P2,opencl,amd-ocl,gpu,gemm,256,ovh,3,641100,1171600
P2,opencl,amd-ocl,gpu,gemm,256,ovh,4,634700,1086200
P2,opencl,amd-ocl,gpu,null,1,ovh,0,152700,-1
P2,opencl,amd-ocl,gpu,null,1,ovh,1,140300,-1
P2,opencl,amd-ocl,gpu,null,1,ovh,2,110900,-1
P2,opencl,amd-ocl,gpu,null,1,ovh,3,85800,-1
P2,opencl,amd-ocl,gpu,null,1,ovh,4,86300,-1
P2,cpp,serial,cpu,gemm,256,ovh,0,2180300,2177300
P2,cpp,serial,cpu,gemm,256,ovh,1,2192100,2177100
P2,cpp,serial,cpu,gemm,256,ovh,2,2179500,2238800
P2,cpp,serial,cpu,gemm,256,ovh,3,2176100,2178400
P2,cpp,serial,cpu,gemm,256,ovh,4,2173100,2203100
P2,opencl,amd-ocl,gpu,gemm,256,ovh,0,1038100,1564800
P2,opencl,amd-ocl,gpu,gemm,256,ovh,1,744100,1268800
P2,opencl,amd-ocl,gpu,gemm,256,ovh,2,669200,1220300
P2,opencl,amd-ocl,gpu,gemm,256,ovh,3,663800,1164000
P2,opencl,amd-ocl,gpu,gemm,256,ovh,4,693100,1211600
P2,opencl,amd-ocl,gpu,null,1,ovh,0,177900,-1
P2,opencl,amd-ocl,gpu,null,1,ovh,1,109400,-1
P2,opencl,amd-ocl,gpu,null,1,ovh,2,105300,-1
P2,opencl,amd-ocl,gpu,null,1,ovh,3,102800,-1
P2,opencl,amd-ocl,gpu,null,1,ovh,4,149800,-1
P2,cpp,serial,cpu,gemm,256,ovh,0,1806800,1879800
P2,cpp,serial,cpu,gemm,256,ovh,1,1804900,1804500
P2,cpp,serial,cpu,gemm,256,ovh,2,1834000,1797300
P2,cpp,serial,cpu,gemm,256,ovh,3,1837700,1798900
P2,cpp,serial,cpu,gemm,256,ovh,4,1795100,1812300
P2,opencl,amd-ocl,gpu,gemm,256,ovh,0,980200,1772200
P2,opencl,amd-ocl,gpu,gemm,256,ovh,1,694300,1172300
P2,opencl,amd-ocl,gpu,gemm,256,ovh,2,643800,1094900
P2,opencl,amd-ocl,gpu,gemm,256,ovh,3,643300,1225000
P2,opencl,amd-ocl,gpu,gemm,256,ovh,4,662100,1193000
P2,opencl,amd-ocl,gpu,null,1,ovh,0,136600,-1
P2,opencl,amd-ocl,gpu,null,1,ovh,1,91100,-1
P2,opencl,amd-ocl,gpu,null,1,ovh,2,104900,-1
P2,opencl,amd-ocl,gpu,null,1,ovh,3,122100,-1
P2,opencl,amd-ocl,gpu,null,1,ovh,4,81300,-1
P2,cpp,serial,cpu,gemm,256,ovh,0,2127400,2141000
P2,cpp,serial,cpu,gemm,256,ovh,1,2110300,2120400
P2,cpp,serial,cpu,gemm,256,ovh,2,2116700,2115600
P2,cpp,serial,cpu,gemm,256,ovh,3,2121100,2119800
P2,cpp,serial,cpu,gemm,256,ovh,4,2362600,2213900
P2,opencl,amd-ocl,gpu,gemm,256,ovh,0,1115300,1670100
P2,opencl,amd-ocl,gpu,gemm,256,ovh,1,695500,1238300
P2,opencl,amd-ocl,gpu,gemm,256,ovh,2,665200,1253300
P2,opencl,amd-ocl,gpu,gemm,256,ovh,3,653600,1131600
P2,opencl,amd-ocl,gpu,gemm,256,ovh,4,627500,1068100
P2,opencl,amd-ocl,gpu,null,1,ovh,0,124700,-1
P2,opencl,amd-ocl,gpu,null,1,ovh,1,105100,-1
P2,opencl,amd-ocl,gpu,null,1,ovh,2,74300,-1
P2,opencl,amd-ocl,gpu,null,1,ovh,3,77100,-1
P2,opencl,amd-ocl,gpu,null,1,ovh,4,76100,-1
P2,cpp,serial,cpu,gemm,256,ovh,0,2183100,2125200
P2,cpp,serial,cpu,gemm,256,ovh,1,2129700,2195300
P2,cpp,serial,cpu,gemm,256,ovh,2,2134300,2136300
P2,cpp,serial,cpu,gemm,256,ovh,3,2122900,2124100
P2,cpp,serial,cpu,gemm,256,ovh,4,2145000,2137000
P2,opencl,amd-ocl,gpu,gemm,256,ovh,0,16662400,131747700
P2,opencl,amd-ocl,gpu,gemm,256,ovh,1,8589800,25717900
P2,opencl,amd-ocl,gpu,gemm,256,ovh,2,4009900,26091800
P2,opencl,amd-ocl,gpu,gemm,256,ovh,3,2844500,11034200
P2,opencl,amd-ocl,gpu,gemm,256,ovh,4,2498400,4801500
P2,opencl,amd-ocl,gpu,null,1,ovh,0,92500,-1
P2,opencl,amd-ocl,gpu,null,1,ovh,1,78400,-1
P2,opencl,amd-ocl,gpu,null,1,ovh,2,80000,-1
P2,opencl,amd-ocl,gpu,null,1,ovh,3,81800,-1
P2,opencl,amd-ocl,gpu,null,1,ovh,4,79600,-1
P2,cpp,serial,cpu,gemm,256,ovh,0,3191000,2121600
P2,cpp,serial,cpu,gemm,256,ovh,1,1886100,2087900
P2,cpp,serial,cpu,gemm,256,ovh,2,1940500,2486800
P2,cpp,serial,cpu,gemm,256,ovh,3,1997800,1826000
P2,cpp,serial,cpu,gemm,256,ovh,4,2140500,1826300
P2,opencl,amd-ocl,gpu,gemm,256,ovh,0,948200,1478300
P2,opencl,amd-ocl,gpu,gemm,256,ovh,1,765100,1442500
P2,opencl,amd-ocl,gpu,gemm,256,ovh,2,869800,1566100
P2,opencl,amd-ocl,gpu,gemm,256,ovh,3,646200,1092000
P2,opencl,amd-ocl,gpu,gemm,256,ovh,4,641500,1092100
P2,opencl,amd-ocl,gpu,null,1,ovh,0,174200,-1
P2,opencl,amd-ocl,gpu,null,1,ovh,1,112600,-1
P2,opencl,amd-ocl,gpu,null,1,ovh,2,110600,-1
P2,opencl,amd-ocl,gpu,null,1,ovh,3,110800,-1
P2,opencl,amd-ocl,gpu,null,1,ovh,4,122800,-1
P2,cpp,serial,cpu,gemm,256,ovh,0,1986300,1811200
P2,cpp,serial,cpu,gemm,256,ovh,1,1797700,1790000
P2,cpp,serial,cpu,gemm,256,ovh,2,1783900,1784400
P2,cpp,serial,cpu,gemm,256,ovh,3,1816400,1789600
P2,cpp,serial,cpu,gemm,256,ovh,4,1783300,1788200
P2,opencl,amd-ocl,gpu,gemm,256,ovh,0,975200,1914100
P2,opencl,amd-ocl,gpu,gemm,256,ovh,1,684600,1259300
P2,opencl,amd-ocl,gpu,gemm,256,ovh,2,651500,1117400
P2,opencl,amd-ocl,gpu,gemm,256,ovh,3,643300,1197300
P2,opencl,amd-ocl,gpu,gemm,256,ovh,4,806300,1877200
P2,opencl,amd-ocl,gpu,null,1,ovh,0,127600,-1
P2,opencl,amd-ocl,gpu,null,1,ovh,1,113600,-1
P2,opencl,amd-ocl,gpu,null,1,ovh,2,102000,-1
P2,opencl,amd-ocl,gpu,null,1,ovh,3,101600,-1
P2,opencl,amd-ocl,gpu,null,1,ovh,4,101900,-1
P2,cpp,serial,cpu,gemm,256,ovh,0,1805600,1794000
P2,cpp,serial,cpu,gemm,256,ovh,1,1789300,1795900
P2,cpp,serial,cpu,gemm,256,ovh,2,1963500,1821400
P2,cpp,serial,cpu,gemm,256,ovh,3,1791200,1800100
P2,cpp,serial,cpu,gemm,256,ovh,4,1806500,1792200
P2,opencl,amd-ocl,gpu,gemm,256,ovh,0,961900,1343400
P2,opencl,amd-ocl,gpu,gemm,256,ovh,1,679000,1148600
P2,opencl,amd-ocl,gpu,gemm,256,ovh,2,646800,1148100
P2,opencl,amd-ocl,gpu,gemm,256,ovh,3,633200,1081400
P2,opencl,amd-ocl,gpu,gemm,256,ovh,4,637000,1249600
P2,opencl,amd-ocl,gpu,null,1,ovh,0,136100,-1
P2,opencl,amd-ocl,gpu,null,1,ovh,1,70200,-1
P2,opencl,amd-ocl,gpu,null,1,ovh,2,66600,-1
P2,opencl,amd-ocl,gpu,null,1,ovh,3,71500,-1
P2,opencl,amd-ocl,gpu,null,1,ovh,4,67200,-1
P2,cpp,serial,cpu,gemm,256,ovh,0,1865200,1899100
P2,cpp,serial,cpu,gemm,256,ovh,1,2393000,2034700
P2,cpp,serial,cpu,gemm,256,ovh,2,1877100,1861400
P2,cpp,serial,cpu,gemm,256,ovh,3,1861600,2005800
P2,cpp,serial,cpu,gemm,256,ovh,4,1951500,1882700
P2,opencl,amd-ocl,gpu,gemm,256,ovh,0,877900,1294700
P2,opencl,amd-ocl,gpu,gemm,256,ovh,1,663000,1145300
P2,opencl,amd-ocl,gpu,gemm,256,ovh,2,625000,1101700
P2,opencl,amd-ocl,gpu,gemm,256,ovh,3,1043000,1648800
P2,opencl,amd-ocl,gpu,gemm,256,ovh,4,711900,1179200
P2,opencl,amd-ocl,gpu,null,1,ovh,0,174700,-1
P2,opencl,amd-ocl,gpu,null,1,ovh,1,98200,-1
P2,opencl,amd-ocl,gpu,null,1,ovh,2,87700,-1
P2,opencl,amd-ocl,gpu,null,1,ovh,3,95100,-1
P2,opencl,amd-ocl,gpu,null,1,ovh,4,94900,-1
P2,cpp,serial,cpu,gemm,256,ovh,0,2052300,1818800
P2,cpp,serial,cpu,gemm,256,ovh,1,1801300,1805400
P2,cpp,serial,cpu,gemm,256,ovh,2,1890200,1814700
P2,cpp,serial,cpu,gemm,256,ovh,3,1797600,1840600
P2,cpp,serial,cpu,gemm,256,ovh,4,2215600,2058400
P2,opencl,amd-ocl,gpu,gemm,256,ovh,0,995500,1396600
P2,opencl,amd-ocl,gpu,gemm,256,ovh,1,670000,1142100
P2,opencl,amd-ocl,gpu,gemm,256,ovh,2,663300,1619900
P2,opencl,amd-ocl,gpu,gemm,256,ovh,3,823200,1131100
P2,opencl,amd-ocl,gpu,gemm,256,ovh,4,626700,1279000
P2,opencl,amd-ocl,gpu,null,1,ovh,0,166600,-1
P2,opencl,amd-ocl,gpu,null,1,ovh,1,101200,-1
P2,opencl,amd-ocl,gpu,null,1,ovh,2,98700,-1
P2,opencl,amd-ocl,gpu,null,1,ovh,3,99000,-1
P2,opencl,amd-ocl,gpu,null,1,ovh,4,104500,-1
P2,cpp,serial,cpu,gemm,256,ovh,0,1826200,1845300
P2,cpp,serial,cpu,gemm,256,ovh,1,1977500,1840300
P2,cpp,serial,cpu,gemm,256,ovh,2,1836000,1915600
P2,cpp,serial,cpu,gemm,256,ovh,3,1809100,1809000
P2,cpp,serial,cpu,gemm,256,ovh,4,1805900,1807200
P2,opencl,amd-ocl,gpu,gemm,256,ovh,0,1028300,1592600
P2,opencl,amd-ocl,gpu,gemm,256,ovh,1,705400,1660000
P2,opencl,amd-ocl,gpu,gemm,256,ovh,2,945100,1716700
P2,opencl,amd-ocl,gpu,gemm,256,ovh,3,763800,1303300
P2,opencl,amd-ocl,gpu,gemm,256,ovh,4,683400,1141600
P2,opencl,amd-ocl,gpu,null,1,ovh,0,152200,-1
P2,opencl,amd-ocl,gpu,null,1,ovh,1,88500,-1
P2,opencl,amd-ocl,gpu,null,1,ovh,2,127000,-1
P2,opencl,amd-ocl,gpu,null,1,ovh,3,89700,-1
P2,opencl,amd-ocl,gpu,null,1,ovh,4,88400,-1
P2,cpp,serial,cpu,gemm,256,ovh,0,1873600,1831900
P2,cpp,serial,cpu,gemm,256,ovh,1,1931800,1827000
P2,cpp,serial,cpu,gemm,256,ovh,2,2017900,1846200
P2,cpp,serial,cpu,gemm,256,ovh,3,1825900,1864100
P2,cpp,serial,cpu,gemm,256,ovh,4,1880600,1829400
P2,opencl,amd-ocl,gpu,gemm,256,ovh,0,1023900,1723200
P2,opencl,amd-ocl,gpu,gemm,256,ovh,1,746800,1336000
P2,opencl,amd-ocl,gpu,gemm,256,ovh,2,671500,1168300
P2,opencl,amd-ocl,gpu,gemm,256,ovh,3,666400,1166400
P2,opencl,amd-ocl,gpu,gemm,256,ovh,4,654400,1255400
P2,opencl,amd-ocl,gpu,null,1,ovh,0,138600,-1
P2,opencl,amd-ocl,gpu,null,1,ovh,1,150600,-1
P2,opencl,amd-ocl,gpu,null,1,ovh,2,115700,-1
P2,opencl,amd-ocl,gpu,null,1,ovh,3,126600,-1
P2,opencl,amd-ocl,gpu,null,1,ovh,4,77700,-1
P2,cpp,serial,cpu,gemm,256,ovh,0,1817300,1800900
P2,cpp,serial,cpu,gemm,256,ovh,1,1849300,1881600
P2,cpp,serial,cpu,gemm,256,ovh,2,1957000,1830300
P2,cpp,serial,cpu,gemm,256,ovh,3,2007500,1796000
P2,cpp,serial,cpu,gemm,256,ovh,4,2317800,1853600
P2,opencl,amd-ocl,gpu,gemm,256,ovh,0,939900,1224000
P2,opencl,amd-ocl,gpu,gemm,256,ovh,1,647700,1173500
P2,opencl,amd-ocl,gpu,gemm,256,ovh,2,645100,1120300
P2,opencl,amd-ocl,gpu,gemm,256,ovh,3,663000,1163200
P2,opencl,amd-ocl,gpu,gemm,256,ovh,4,765600,1161700
P2,opencl,amd-ocl,gpu,null,1,ovh,0,130500,-1
P2,opencl,amd-ocl,gpu,null,1,ovh,1,97600,-1
P2,opencl,amd-ocl,gpu,null,1,ovh,2,97900,-1
P2,opencl,amd-ocl,gpu,null,1,ovh,3,97800,-1
P2,opencl,amd-ocl,gpu,null,1,ovh,4,94200,-1
P2,cpp,serial,cpu,gemm,256,ovh,0,1827400,1991400
P2,cpp,serial,cpu,gemm,256,ovh,1,1827900,1987700
P2,cpp,serial,cpu,gemm,256,ovh,2,1860300,1804700
P2,cpp,serial,cpu,gemm,256,ovh,3,1804800,1844800
P2,cpp,serial,cpu,gemm,256,ovh,4,1808400,1814000
P2,opencl,amd-ocl,gpu,gemm,256,ovh,0,1051200,1642000
P2,opencl,amd-ocl,gpu,gemm,256,ovh,1,688000,1164700
P2,opencl,amd-ocl,gpu,gemm,256,ovh,2,640900,1203700
P2,opencl,amd-ocl,gpu,gemm,256,ovh,3,669900,1228900
P2,opencl,amd-ocl,gpu,gemm,256,ovh,4,675700,1210800
P2,opencl,amd-ocl,gpu,null,1,ovh,0,100700,-1
P2,opencl,amd-ocl,gpu,null,1,ovh,1,98400,-1
P2,opencl,amd-ocl,gpu,null,1,ovh,2,137800,-1
P2,opencl,amd-ocl,gpu,null,1,ovh,3,160800,-1
P2,opencl,amd-ocl,gpu,null,1,ovh,4,122000,-1
P2,cpp,serial,cpu,gemm,256,ovh,0,2014100,1930800
P2,cpp,serial,cpu,gemm,256,ovh,1,2219000,1862600
P2,cpp,serial,cpu,gemm,256,ovh,2,1842800,1842800
P2,cpp,serial,cpu,gemm,256,ovh,3,2319200,2441800
P2,cpp,serial,cpu,gemm,256,ovh,4,1852000,1819800
P2,opencl,amd-ocl,gpu,gemm,256,ovh,0,1027900,1639800
P2,opencl,amd-ocl,gpu,gemm,256,ovh,1,658200,1266700
P2,opencl,amd-ocl,gpu,gemm,256,ovh,2,697100,1151500
P2,opencl,amd-ocl,gpu,gemm,256,ovh,3,627600,1078600
P2,opencl,amd-ocl,gpu,gemm,256,ovh,4,627400,1183500
P2,opencl,amd-ocl,gpu,null,1,ovh,0,150800,-1
P2,opencl,amd-ocl,gpu,null,1,ovh,1,93900,-1
P2,opencl,amd-ocl,gpu,null,1,ovh,2,81100,-1
P2,opencl,amd-ocl,gpu,null,1,ovh,3,117300,-1
P2,opencl,amd-ocl,gpu,null,1,ovh,4,77300,-1
P2,cpp,serial,cpu,gemm,256,ovh,0,1854500,1807400
P2,cpp,serial,cpu,gemm,256,ovh,1,1820800,1810800
P2,cpp,serial,cpu,gemm,256,ovh,2,1809900,1824900
P2,cpp,serial,cpu,gemm,256,ovh,3,1831200,1879800
P2,cpp,serial,cpu,gemm,256,ovh,4,1827900,2019800
P2,opencl,amd-ocl,gpu,gemm,256,ovh,0,930500,1344200
P2,opencl,amd-ocl,gpu,gemm,256,ovh,1,785300,1246700
P2,opencl,amd-ocl,gpu,gemm,256,ovh,2,681200,1206600
P2,opencl,amd-ocl,gpu,gemm,256,ovh,3,642700,1242800
P2,opencl,amd-ocl,gpu,gemm,256,ovh,4,642500,1120200
P2,opencl,amd-ocl,gpu,null,1,ovh,0,137700,-1
P2,opencl,amd-ocl,gpu,null,1,ovh,1,106300,-1
P2,opencl,amd-ocl,gpu,null,1,ovh,2,135400,-1
P2,opencl,amd-ocl,gpu,null,1,ovh,3,119600,-1
P2,opencl,amd-ocl,gpu,null,1,ovh,4,123900,-1
P2,cpp,serial,cpu,gemm,256,ovh,0,1844700,1965900
P2,cpp,serial,cpu,gemm,256,ovh,1,2072800,1829900
P2,cpp,serial,cpu,gemm,256,ovh,2,1812300,1807600
P2,cpp,serial,cpu,gemm,256,ovh,3,1807000,1810300
P2,cpp,serial,cpu,gemm,256,ovh,4,1814100,1804900
P2,opencl,amd-ocl,gpu,gemm,256,ovh,0,1049900,1448000
P2,opencl,amd-ocl,gpu,gemm,256,ovh,1,658000,1185000
P2,opencl,amd-ocl,gpu,gemm,256,ovh,2,625500,1180400
P2,opencl,amd-ocl,gpu,gemm,256,ovh,3,664900,1190400
P2,opencl,amd-ocl,gpu,gemm,256,ovh,4,667500,1253000
P2,opencl,amd-ocl,gpu,null,1,ovh,0,127100,-1
P2,opencl,amd-ocl,gpu,null,1,ovh,1,93000,-1
P2,opencl,amd-ocl,gpu,null,1,ovh,2,81100,-1
P2,opencl,amd-ocl,gpu,null,1,ovh,3,85200,-1
P2,opencl,amd-ocl,gpu,null,1,ovh,4,84900,-1
P2,cpp,serial,cpu,gemm,256,ovh,0,1903500,1824100
P2,cpp,serial,cpu,gemm,256,ovh,1,2092000,2209500
P2,cpp,serial,cpu,gemm,256,ovh,2,1822500,1937700
P2,cpp,serial,cpu,gemm,256,ovh,3,1816400,1810500
P2,cpp,serial,cpu,gemm,256,ovh,4,1806400,1808100
P2,opencl,amd-ocl,gpu,gemm,256,ovh,0,1000900,1720100
P2,opencl,amd-ocl,gpu,gemm,256,ovh,1,705300,1246200
P2,opencl,amd-ocl,gpu,gemm,256,ovh,2,650800,1276700
P2,opencl,amd-ocl,gpu,gemm,256,ovh,3,656300,1234300
P2,opencl,amd-ocl,gpu,gemm,256,ovh,4,651200,1119900
P2,opencl,amd-ocl,gpu,null,1,ovh,0,126800,-1
P2,opencl,amd-ocl,gpu,null,1,ovh,1,112300,-1
P2,opencl,amd-ocl,gpu,null,1,ovh,2,96100,-1
P2,opencl,amd-ocl,gpu,null,1,ovh,3,95200,-1
P2,opencl,amd-ocl,gpu,null,1,ovh,4,97200,-1
P2,cpp,serial,cpu,gemm,256,ovh,0,1882900,1975200
P2,cpp,serial,cpu,gemm,256,ovh,1,1865400,2056000
P2,cpp,serial,cpu,gemm,256,ovh,2,1856800,1825200
P2,cpp,serial,cpu,gemm,256,ovh,3,1820000,1815900
P2,cpp,serial,cpu,gemm,256,ovh,4,1813400,1826800
P2,opencl,amd-ocl,gpu,gemm,256,ovh,0,957200,2017100
P2,opencl,amd-ocl,gpu,gemm,256,ovh,1,1717300,2884700
P2,opencl,amd-ocl,gpu,gemm,256,ovh,2,695200,1135000
P2,opencl,amd-ocl,gpu,gemm,256,ovh,3,628500,1176200
P2,opencl,amd-ocl,gpu,gemm,256,ovh,4,663900,1193500
P2,opencl,amd-ocl,gpu,null,1,ovh,0,108700,-1
P2,opencl,amd-ocl,gpu,null,1,ovh,1,98000,-1
