platform,model,impl,device,kernel,size,scenario,t_init_ns,t_build_ns,t_first_ns,max_rel_err
P2,cpp,serial,cpu,gemm,256,ovh,0,0,1956200,0.000e+00
P2,opencl,amd-ocl,gpu,gemm,256,ovh,835573600,508458500,966900,4.415e-04
P2,opencl,amd-ocl,gpu,null,1,ovh,837077800,494298000,225600,-1.000e+00
P2,cpp,serial,cpu,gemm,256,ovh,0,0,1985800,0.000e+00
P2,opencl,amd-ocl,gpu,gemm,256,ovh,829661000,493702800,1167200,4.415e-04
P2,opencl,amd-ocl,gpu,null,1,ovh,831870700,521205600,225200,-1.000e+00
P2,cpp,serial,cpu,gemm,256,ovh,0,0,1956600,0.000e+00
P2,opencl,amd-ocl,gpu,gemm,256,ovh,836088300,486864000,1320900,4.415e-04
P2,opencl,amd-ocl,gpu,null,1,ovh,831183400,493402800,259800,-1.000e+00
P2,cpp,serial,cpu,gemm,256,ovh,0,0,2266700,0.000e+00
P2,opencl,amd-ocl,gpu,gemm,256,ovh,853872900,529399700,1215300,4.415e-04
P2,opencl,amd-ocl,gpu,null,1,ovh,842346900,497725000,264100,-1.000e+00
P2,cpp,serial,cpu,gemm,256,ovh,0,0,2198600,0.000e+00
P2,opencl,amd-ocl,gpu,gemm,256,ovh,829386200,486781600,1458800,4.415e-04
P2,opencl,amd-ocl,gpu,null,1,ovh,846524500,484845300,351900,-1.000e+00
P2,cpp,serial,cpu,gemm,256,ovh,0,0,2006400,0.000e+00
P2,opencl,amd-ocl,gpu,gemm,256,ovh,830776500,497989900,1821200,4.415e-04
P2,opencl,amd-ocl,gpu,null,1,ovh,839307600,535852900,259000,-1.000e+00
P2,cpp,serial,cpu,gemm,256,ovh,0,0,1947800,0.000e+00
