platform,model,impl,device,kernel,size,scenario,iter,lat_ns,e2e_ns
P1,sycl,acpp-omp-aot-usm,cpu,gemm,256,warm,1,4395098,4466491
P1,sycl,acpp-omp-aot-usm,cpu,gemm,256,warm,2,4263063,4543015
P1,sycl,acpp-omp-aot-usm,cpu,gemm,256,warm,3,4215435,4399722
P1,sycl,acpp-omp-aot-usm,cpu,gemm,256,warm,4,4216521,4649943
P1,cpp,serial,cpu,gemm,256,warm,0,2155162,2305480
P1,cpp,serial,cpu,gemm,256,warm,1,2283743,2185710
P1,cpp,serial,cpu,gemm,256,warm,2,2194227,2173002
P1,cpp,serial,cpu,gemm,256,warm,3,2207637,2154720
P1,cpp,serial,cpu,gemm,256,warm,4,2213412,2155132
P1,opencl,pocl,cpu,gemm,256,cold,0,24305738,24297462
P1,opencl,pocl,cpu,gemm,256,cold,1,24158126,24554753
P1,opencl,pocl,cpu,gemm,256,cold,2,24114407,24365192
P1,opencl,pocl,cpu,gemm,256,cold,3,24344256,24450691
P1,opencl,pocl,cpu,gemm,256,cold,4,24193511,24291137
P1,opencl,pocl,cpu,gemm,256,warm,0,26161090,27311475
P1,opencl,pocl,cpu,gemm,256,warm,1,24840512,26135207
P1,opencl,pocl,cpu,gemm,256,warm,2,27523416,28156831
P1,opencl,pocl,cpu,gemm,256,warm,3,26870719,25437271
P1,opencl,pocl,cpu,gemm,256,warm,4,25026270,24825393
P1,opencl,intel-ocl,cpu,gemm,256,warm,0,1780162,1960740
P1,opencl,intel-ocl,cpu,gemm,256,warm,1,1763855,1932050
P1,opencl,intel-ocl,cpu,gemm,256,warm,2,1747679,1929766
P1,opencl,intel-ocl,cpu,gemm,256,warm,3,1793297,1880693
P1,opencl,intel-ocl,cpu,gemm,256,warm,4,1831716,1863762
P1,sycl,acpp-omp-jit-usm,cpu,gemm,256,cold,0,1618631,1626194
P1,sycl,acpp-omp-jit-usm,cpu,gemm,256,cold,1,1544559,1595140
P1,sycl,acpp-omp-jit-usm,cpu,gemm,256,cold,2,1480901,1756781
P1,sycl,acpp-omp-jit-usm,cpu,gemm,256,cold,3,1523327,1638912
P1,sycl,acpp-omp-jit-usm,cpu,gemm,256,cold,4,1494748,1592401
P1,sycl,acpp-omp-jit-usm,cpu,gemm,256,warm,0,1542999,1661276
P1,sycl,acpp-omp-jit-usm,cpu,gemm,256,warm,1,1511850,1575334
P1,sycl,acpp-omp-jit-usm,cpu,gemm,256,warm,2,1513157,1583517
P1,sycl,acpp-omp-jit-usm,cpu,gemm,256,warm,3,1512276,1583455
P1,sycl,acpp-omp-jit-usm,cpu,gemm,256,warm,4,1452809,1612644
P1,sycl,acpp-ocl-jit-usm,cpu,gemm,256,cold,0,2032429,2319383
P1,sycl,acpp-ocl-jit-usm,cpu,gemm,256,cold,1,1901028,2164780
P1,sycl,acpp-ocl-jit-usm,cpu,gemm,256,cold,2,1846054,2100006
P1,sycl,acpp-ocl-jit-usm,cpu,gemm,256,cold,3,1837829,2097148
P1,sycl,acpp-ocl-jit-usm,cpu,gemm,256,cold,4,1913914,2256436
P1,sycl,acpp-ocl-jit-usm,cpu,gemm,256,warm,0,1956337,2236119
P1,sycl,acpp-ocl-jit-usm,cpu,gemm,256,warm,1,1899500,2122846
P1,sycl,acpp-ocl-jit-usm,cpu,gemm,256,warm,2,1983030,2151114
P1,sycl,acpp-ocl-jit-usm,cpu,gemm,256,warm,3,1844680,2121315
P1,sycl,acpp-ocl-jit-usm,cpu,gemm,256,warm,4,1836914,2136805
P1,sycl,acpp-omp-aot-usm,cpu,gemm,256,warm,0,4285006,4543060
P1,sycl,acpp-omp-aot-usm,cpu,gemm,256,warm,1,4265619,4490228
P1,sycl,acpp-omp-aot-usm,cpu,gemm,256,warm,2,4309619,4373823
P1,sycl,acpp-omp-aot-usm,cpu,gemm,256,warm,3,4263381,4526180
P1,sycl,acpp-omp-aot-usm,cpu,gemm,256,warm,4,4299172,4444509
P1,cpp,serial,cpu,gemm,256,warm,0,2312261,2172572
P1,cpp,serial,cpu,gemm,256,warm,1,2319021,2293055
P1,cpp,serial,cpu,gemm,256,warm,2,2208575,2233164
P1,cpp,serial,cpu,gemm,256,warm,3,2209032,2198736
P1,cpp,serial,cpu,gemm,256,warm,4,2150986,2221483
P1,opencl,pocl,cpu,gemm,256,cold,0,25342156,24863039
P1,opencl,pocl,cpu,gemm,256,cold,1,24570159,24652380
P1,opencl,pocl,cpu,gemm,256,cold,2,24423894,24889929
P1,opencl,pocl,cpu,gemm,256,cold,3,24511332,24682203
P1,opencl,pocl,cpu,gemm,256,cold,4,24537760,24784962
P1,opencl,pocl,cpu,gemm,256,warm,0,24382939,24397164
P1,opencl,pocl,cpu,gemm,256,warm,1,24370081,24415492
P1,opencl,pocl,cpu,gemm,256,warm,2,24295651,24601297
P1,opencl,pocl,cpu,gemm,256,warm,3,24527014,24613203
P1,opencl,pocl,cpu,gemm,256,warm,4,24177562,25304639
P1,opencl,intel-ocl,cpu,gemm,256,warm,0,1880086,2487820
P1,opencl,intel-ocl,cpu,gemm,256,warm,1,1996473,1953690
P1,opencl,intel-ocl,cpu,gemm,256,warm,2,1850134,1939709
P1,opencl,intel-ocl,cpu,gemm,256,warm,3,1852312,1901402
P1,opencl,intel-ocl,cpu,gemm,256,warm,4,1781023,1989111
P1,sycl,acpp-omp-jit-usm,cpu,gemm,256,cold,0,1675371,1758187
P1,sycl,acpp-omp-jit-usm,cpu,gemm,256,cold,1,1598484,1649650
